Name;Surname;Patronymic;Adress;UniqueId;Phone
Артём;Кулагин;Анисимович;д. Севрюки, д. 19;534011718;+375  (33) 4011718
Георгий;Руднев;Эльдарович;д. Лозичи, д. 81, корп. 1;237820880;+375  (29) 7820880
Артём;Высоцкий;Витальевич;аг. Бочейково, д. 99;1002897798;+375  (33) 2897798
Богдан;Емельянов;Витальевич;д. Свистковщина, д. 35;1657007234;+375  (33) 7007234
Андрей;Шувалов;Акимович;д. Куляны, д. 73;1412011072;+375  (29) 2011072
Любовь;Гришина;Архиповна;д. Леоновка, д. 60, корп. 20;929393559;+375  (44) 9393559
Кирилл;Грибов;Петрович;аг. Малевичи, д. 93;760389092;+375  (29) 389092
Елена;Троцкая;Святославовна;д. Бобарыки, д. 4;2026928803;+375  (44) 6928803
Валентина;Столярова;Леонидовна;с. Переволочня, д. 54, корп. 14;217468053;+375  (25) 7468053
Жанна;Алексеева;Серафимовна;Гомельская Область, г. Речица , Коллективный Пер. , кв. 300, д. 100;1379662799;+375  (44) 9662799
Карина;Соболева;Романовна;х. Поснудье, д. 38, корп. 18;1655911537;+375  (25) 5911537
Агата;Щербакова;Николаевна;д. Коммунарка, д. 64, корп. 4;867932563;+375  (44) 7932563
Кирилл;Овсянников;Иванович;д Латыгово, д. 31;356479430;+375  (33) 6479430
Карина;Уткина;Эдуардовна;д. Гурки, д. 38, корп. 18;2115372437;+375  (25) 5372437
Руслан;Панкратов;Эльдарович;д. Славени, д. 69;234085668;+375  (29) 4085668
Эвелина;Коваль;Никифоровна;г. Городок , Варвашени Ул. , кв. 262, д. 62, корп. 2;658591161;+375  (25) 8591161
Кристина;Дорофеева;Болеславовна;д. Пожарище, д. 24;1722583523;+375  (44) 2583523
Екатерина;Моисеева;Макаровна;Гомельская Область, г. Ветка , Фанипольский Пер. , кв. 108, д. 8;956804207;+375  (44) 6804207
Елисей;Баранов;Васильевич;г. Мозырь , Ольховая Ул. , кв. 45, д. 45, корп. 5;483147644;+375  (29) 3147644
Одиссей;Федосеев;Эммануилович;г. Добруш , Кабушкина Ул. , кв. 105, д. 5, корп. 5;24066104;+375  (29) 4066104
